#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1080.0    152.4     20.65      .00      .00      .00   -19.22     6.03      .01    -9.97
 1085.0    158.2     51.02      .00      .00      .00   -44.68    16.25      .08   -23.85
 1090.0    164.0     66.28      .00      .00      .00   -54.21    22.64      .15   -29.90
 1095.0    169.8     76.85      .00      .00      .00   -58.23    27.77      .21   -33.33
 1100.0    175.7     85.06      .00      .00      .00   -59.17    32.14      .26   -35.34
 1105.0    181.5     91.83      .00      .00      .00   -58.03    35.93      .31   -36.41
 1110.0    187.4     97.74      .00      .00      .00   -55.39    39.25      .34   -36.81
 1115.0    193.4    103.17      .00      .00      .00   -51.62    42.18      .37   -36.75
 1120.0    199.3    108.38      .00      .00      .00   -46.95    44.78      .37   -36.34
 1125.0    205.3    113.56      .00      .00      .00   -41.50    47.10      .36   -35.65
 1130.0    211.3    118.90      .00      .00      .00   -35.36    49.16      .33   -34.74
 1135.0    217.4    124.54      .00      .00      .00   -28.59    51.01      .26   -33.65
 1140.0    223.4    130.63      .00      .00      .00   -21.20    52.65      .16   -32.41
 1145.0    229.5    137.30      .00      .00      .00   -13.21    54.12      .01   -31.03
 1150.0    235.6    144.69      .00      .00      .00    -4.60    55.43     -.20   -29.53
 1155.0    241.8    152.93      .00      .00      .00     4.60    56.59     -.47   -27.93
 1160.0    247.9    162.11      .00      .00      .00    14.38    57.60     -.82   -26.24
 1165.0    254.1    172.32      .00      .00      .00    24.67    58.48    -1.26   -24.47
 1170.0    260.3    183.51      .00      .00      .00    35.33    59.20    -1.80   -22.65
 1175.0    266.6    195.57      .00      .00      .00    46.12    59.77    -2.45   -20.82
 1180.0    272.9    208.19      .00      .00      .00    56.66    60.17    -3.21   -19.02
 1185.0    279.2    220.85      .00      .00      .00    66.42    60.38    -4.07   -17.33
 1190.0    285.5    232.76      .00      .00      .00    74.74    60.38    -5.01   -15.82
 1195.0    291.9    242.96      .00      .00      .00    80.87    60.18    -6.00   -14.60
 1200.0    298.2    250.40      .00      .00      .00    84.10    59.77    -6.91   -13.74
 1205.0    304.6    254.17      .00      .00      .00    83.95    59.17    -7.75   -13.30
 1210.0    311.1    253.80      .00      .00      .00    80.34    58.44    -8.41   -13.28
 1215.0    317.5    249.32      .00      .00      .00    73.63    57.62    -8.85   -13.65
 1220.0    324.0    241.29      .00      .00      .00    64.54    56.79    -9.06   -14.32
 1225.0    330.5    230.63      .00      .00      .00    54.01    55.99    -9.06   -15.17
 1230.0    337.1    218.37      .00      .00      .00    42.92    55.27    -8.85   -16.11
 1235.0    343.6    205.48      .00      .00      .00    32.05    54.64    -8.46   -17.04
 1240.0    350.2    192.69      .00      .00      .00    21.90    54.12    -7.95   -17.89
 1245.0    356.9    180.50      .00      .00      .00    12.80    53.69    -7.36   -18.63
 1250.0    363.5    169.21      .00      .00      .00     4.86    53.34    -6.74   -19.23
 1255.0    370.2    158.98      .00      .00      .00    -1.90    53.05    -6.11   -19.71
 1260.0    376.9    149.83      .00      .00      .00    -7.57    52.81    -5.49   -20.06
 1265.0    383.6    141.69      .00      .00      .00   -12.25    52.60    -4.88   -20.30
 1270.0    390.4    134.51      .00      .00      .00   -16.07    52.40    -4.31   -20.45
 1275.0    397.2    128.18      .00      .00      .00   -19.14    52.22    -3.76   -20.52
 1280.0    404.0    122.62      .00      .00      .00   -21.58    52.04    -3.26   -20.52
 1285.0    410.8    117.73      .00      .00      .00   -23.49    51.85    -2.78   -20.47
 1290.0    417.7    113.42      .00      .00      .00   -24.95    51.64    -2.34   -20.38
 1295.0    424.5    109.62      .00      .00      .00   -26.03    51.42    -1.94   -20.27
 1300.0    431.5    106.24      .00      .00      .00   -26.82    51.18    -1.55   -20.14
 1305.0    438.4    103.28      .00      .00      .00   -27.30    50.91    -1.21   -20.00
 1310.0    445.4    100.66      .00      .00      .00   -27.55    50.62     -.90   -19.85
 1315.0    452.4     98.31      .00      .00      .00   -27.60    50.30     -.62   -19.71
 1320.0    459.4     96.22      .00      .00      .00   -27.48    49.95     -.36   -19.58
 1325.0    466.4     94.36      .00      .00      .00   -27.20    49.57     -.13   -19.47
 1330.0    473.5     92.70      .00      .00      .00   -26.79    49.16      .07   -19.38
 1335.0    480.6     91.19      .00      .00      .00   -26.25    48.72      .25   -19.31
 1340.0    487.7     89.85      .00      .00      .00   -25.61    48.26      .41   -19.28
 1345.0    494.9     88.64      .00      .00      .00   -24.86    47.78      .55   -19.27
 1350.0    502.1     87.56      .00      .00      .00   -24.02    47.29      .68   -19.29
 1355.0    509.3     86.58      .00      .00      .00   -23.09    46.79      .79   -19.34
 1360.0    516.5     85.70      .00      .00      .00   -22.08    46.29      .89   -19.41
 1365.0    523.8     84.93      .00      .00      .00   -21.00    45.81      .99   -19.51
 1370.0    531.1     84.27      .00      .00      .00   -19.85    45.35     1.09   -19.62
 1375.0    538.4     83.70      .00      .00      .00   -18.63    44.93     1.19   -19.74
 1380.0    545.7     83.23      .00      .00      .00   -17.35    44.54     1.30   -19.85
 1385.0    553.1     82.86      .00      .00      .00   -16.03    44.21     1.42   -19.97
 1390.0    560.5     82.60      .00      .00      .00   -14.65    43.92     1.56   -20.08
 1395.0    567.9     82.47      .00      .00      .00   -13.22    43.69     1.71   -20.18
 1400.0    575.3     82.45      .00      .00      .00   -11.74    43.51     1.89   -20.27
 1405.0    582.8     82.57      .00      .00      .00   -10.23    43.39     2.08   -20.34
 1410.0    590.3     82.82      .00      .00      .00    -8.67    43.33     2.30   -20.40
 1415.0    597.8     83.21      .00      .00      .00    -7.07    43.31     2.54   -20.44
 1420.0    605.4     83.74      .00      .00      .00    -5.42    43.35     2.81   -20.47
 1425.0    613.0     84.44      .00      .00      .00    -3.72    43.43     3.10   -20.48
 1430.0    620.6     85.30      .00      .00      .00    -1.98    43.56     3.42   -20.48
 1435.0    628.2     86.32      .00      .00      .00     -.20    43.73     3.76   -20.48
 1440.0    635.9     87.50      .00      .00      .00     1.63    43.93     4.13   -20.46
