#   W       w(lab)    sigT     sigL     sigLT   sigLT'   sigTT'   sigL0    sigLT0  sigLT0'
# (MeV)     (MeV)     (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)    (mcb)
 1080.0    338.9      3.25     1.98     -.08     1.70    -1.23      .00      .00     -.08
 1085.0    344.7      5.67     2.61     -.26     2.11    -1.02      .00      .01     -.09
 1090.0    350.5      8.42     3.13     -.40     2.41     -.43      .00      .01     -.08
 1095.0    356.3     11.49     3.59     -.53     2.67      .49      .00      .01     -.06
 1100.0    362.2     14.91     4.00     -.63     2.93     1.73      .00      .01     -.05
 1105.0    368.1     18.72     4.40     -.73     3.19     3.31      .00      .01     -.02
 1110.0    374.0     22.99     4.77     -.83     3.48     5.25      .00      .00      .00
 1115.0    379.9     27.78     5.15     -.91     3.80     7.57      .00     -.01      .04
 1120.0    385.8     33.20     5.52     -.98     4.17    10.34      .00     -.02      .08
 1125.0    391.8     39.36     5.89    -1.04     4.60    13.59      .00     -.03      .12
 1130.0    397.8     46.39     6.28    -1.08     5.10    17.41      .01     -.04      .18
 1135.0    403.9     54.45     6.68    -1.11     5.67    21.87      .01     -.05      .24
 1140.0    409.9     63.71     7.10    -1.12     6.33    27.07      .02     -.06      .33
 1145.0    416.0     74.39     7.54    -1.11     7.10    33.12      .03     -.07      .42
 1150.0    422.1     86.70     8.01    -1.07     7.97    40.14      .04     -.07      .54
 1155.0    428.3    100.87     8.50    -1.00     8.97    48.24      .05     -.08      .68
 1160.0    434.4    117.10     9.02     -.90    10.10    57.54      .06     -.08      .85
 1165.0    440.6    135.57     9.56     -.75    11.36    68.10      .08     -.07     1.05
 1170.0    446.9    156.30    10.12     -.56    12.74    79.94      .10     -.06     1.27
 1175.0    453.1    179.12    10.68     -.33    14.21    92.94      .12     -.04     1.54
 1180.0    459.4    203.56    11.23     -.05    15.71   106.81      .15     -.01     1.82
 1185.0    465.7    228.73    11.72      .28    17.18   121.03      .18      .03     2.13
 1190.0    472.0    253.28    12.14      .63    18.51   134.81      .21      .08     2.44
 1195.0    478.4    275.47    12.43      .98    19.56   147.16      .24      .14     2.73
 1200.0    484.7    293.36    12.58     1.33    20.23   156.98      .27      .20     2.99
 1205.0    491.2    305.25    12.56     1.63    20.43   163.35      .30      .25     3.18
 1210.0    497.6    310.09    12.38     1.85    20.11   165.69      .33      .30     3.28
 1215.0    504.0    307.73    12.07     1.98    19.33   163.96      .35      .34     3.31
 1220.0    510.5    298.90    11.65     2.01    18.15   158.63      .37      .36     3.24
 1225.0    517.1    285.02    11.18     1.93    16.71   150.49      .39      .36     3.12
 1230.0    523.6    267.71    10.69     1.76    15.13   140.50      .40      .34     2.94
 1235.0    530.2    248.57    10.22     1.53    13.52   129.56      .42      .31     2.73
 1240.0    536.8    228.86     9.79     1.25    11.94   118.38      .43      .26     2.50
 1245.0    543.4    209.53     9.39      .95    10.46   107.47      .44      .21     2.27
 1250.0    550.0    191.17     9.05      .62     9.10    97.16      .46      .14     2.04
 1255.0    556.7    174.12     8.76      .30     7.88    87.63      .47      .07     1.83
 1260.0    563.4    158.52     8.52     -.02     6.78    78.95      .49     -.01     1.63
 1265.0    570.1    144.37     8.33     -.34     5.82    71.11      .51     -.08     1.44
 1270.0    576.9    131.62     8.17     -.64     4.97    64.08      .53     -.16     1.26
 1275.0    583.7    120.17     8.04     -.92     4.22    57.81      .55     -.24     1.11
 1280.0    590.5    109.90     7.95    -1.20     3.57    52.21      .58     -.32      .96
 1285.0    597.3    100.69     7.88    -1.46     3.01    47.21      .60     -.40      .83
 1290.0    604.2     92.43     7.83    -1.71     2.52    42.75      .63     -.49      .72
 1295.0    611.1     85.00     7.80    -1.94     2.10    38.76      .66     -.57      .61
 1300.0    618.0     78.32     7.78    -2.17     1.73    35.21      .69     -.65      .52
 1305.0    624.9     72.31     7.77    -2.38     1.42    32.01      .73     -.73      .44
 1310.0    631.9     66.86     7.77    -2.58     1.16    29.14      .76     -.81      .36
 1315.0    638.9     61.92     7.77    -2.77      .94    26.54      .80     -.89      .30
 1320.0    645.9     57.43     7.77    -2.95      .76    24.19      .84     -.97      .25
 1325.0    652.9     53.36     7.77    -3.12      .62    22.07      .87    -1.05      .21
 1330.0    660.0     49.65     7.77    -3.28      .51    20.14      .91    -1.12      .17
 1335.0    667.1     46.25     7.76    -3.43      .43    18.37      .95    -1.20      .15
 1340.0    674.2     43.14     7.74    -3.57      .38    16.75      .98    -1.27      .14
 1345.0    681.4     40.30     7.70    -3.70      .35    15.27     1.02    -1.34      .13
 1350.0    688.6     37.70     7.66    -3.82      .34    13.90     1.05    -1.41      .13
 1355.0    695.8     35.31     7.60    -3.92      .35    12.62     1.08    -1.48      .13
 1360.0    703.0     33.12     7.52    -4.02      .37    11.43     1.11    -1.55      .14
 1365.0    710.3     31.12     7.43    -4.11      .40    10.31     1.14    -1.61      .15
 1370.0    717.6     29.29     7.33    -4.19      .43     9.27     1.17    -1.67      .17
 1375.0    724.9     27.61     7.21    -4.26      .46     8.29     1.19    -1.73      .19
 1380.0    732.2     26.08     7.09    -4.33      .49     7.35     1.21    -1.79      .20
 1385.0    739.6     24.69     6.96    -4.39      .52     6.47     1.23    -1.84      .22
 1390.0    747.0     23.42     6.83    -4.45      .54     5.62     1.24    -1.90      .23
 1395.0    754.4     22.28     6.70    -4.50      .55     4.81     1.26    -1.95      .24
 1400.0    761.8     21.24     6.57    -4.56      .55     4.04     1.27    -2.01      .24
 1405.0    769.3     20.31     6.44    -4.62      .54     3.29     1.29    -2.07      .24
 1410.0    776.8     19.48     6.32    -4.68      .52     2.57     1.30    -2.13      .24
 1415.0    784.4     18.76     6.22    -4.75      .49     1.87     1.32    -2.19      .22
 1420.0    791.9     18.14     6.12    -4.83      .44     1.20     1.34    -2.26      .21
 1425.0    799.5     17.62     6.04    -4.91      .39      .55     1.36    -2.33      .19
 1430.0    807.1     17.20     5.97    -5.01      .33     -.09     1.38    -2.41      .16
 1435.0    814.7     16.88     5.91    -5.12      .26     -.71     1.41    -2.50      .13
 1440.0    822.4     16.67     5.88    -5.24      .17    -1.33     1.44    -2.59      .09
 1445.0    830.1     16.57     5.86    -5.38      .08    -1.94     1.48    -2.70      .04
 1450.0    837.8     16.59     5.87    -5.54     -.02    -2.54     1.52    -2.82     -.01
 1455.0    845.5     16.74     5.90    -5.73     -.14    -3.15     1.56    -2.95     -.07
 1460.0    853.3     17.03     5.95    -5.93     -.27    -3.75     1.62    -3.10     -.14
 1465.0    861.1     17.47     6.03    -6.17     -.41    -4.36     1.68    -3.26     -.21
 1470.0    868.9     18.09     6.13    -6.44     -.55    -4.98     1.75    -3.45     -.30
 1475.0    876.8     18.91     6.25    -6.75     -.71    -5.64     1.83    -3.66     -.38
 1480.0    884.6     19.86     6.41    -7.10     -.89    -6.28     1.93    -3.89     -.49
 1485.0    892.5     20.86     6.62    -7.46    -1.11    -6.81     2.04    -4.14     -.61
 1490.0    900.5     21.64     6.63    -7.63    -1.73    -6.98     2.09    -4.28     -.97
 1495.0    908.4     22.30     6.62    -7.69    -2.19    -6.92     2.14    -4.37    -1.25
 1500.0    916.4     22.90     6.59    -7.69    -2.55    -6.75     2.18    -4.42    -1.47
 1505.0    924.4     23.41     6.54    -7.66    -2.88    -6.48     2.21    -4.45    -1.68
 1510.0    932.4     23.74     6.44    -7.55    -3.18    -6.08     2.22    -4.44    -1.87
 1515.0    940.5     23.80     6.30    -7.36    -3.42    -5.53     2.22    -4.37    -2.03
 1520.0    948.6     23.58     6.12    -7.08    -3.60    -4.84     2.21    -4.25    -2.16
 1525.0    956.7     23.07     5.90    -6.74    -3.71    -4.05     2.17    -4.09    -2.25
 1530.0    964.8     22.31     5.67    -6.35    -3.76    -3.18     2.13    -3.90    -2.31
 1535.0    973.0     21.35     5.42    -5.94    -3.74    -2.28     2.08    -3.68    -2.32
 1540.0    981.2     20.26     5.18    -5.51    -3.65    -1.37     2.03    -3.45    -2.29
 1545.0    989.4     19.11     4.94    -5.10    -3.51     -.48     1.98    -3.23    -2.22
 1550.0    997.7     17.95     4.72    -4.71    -3.33      .35     1.93    -3.01    -2.13
 1555.0   1005.9     16.84     4.50    -4.34    -3.11     1.10     1.88    -2.80    -2.01
 1560.0   1014.2     15.81     4.31    -4.01    -2.88     1.77     1.83    -2.61    -1.88
 1565.0   1022.6     14.87     4.12    -3.70    -2.65     2.34     1.79    -2.43    -1.75
 1570.0   1030.9     14.06     3.96    -3.41    -2.44     2.81     1.75    -2.27    -1.62
 1575.0   1039.3     13.38     3.81    -3.16    -2.25     3.18     1.72    -2.12    -1.51
 1580.0   1047.7     12.85     3.68    -2.93    -2.09     3.45     1.69    -1.98    -1.42
 1585.0   1056.1     12.45     3.57    -2.73    -1.97     3.61     1.67    -1.87    -1.35
 1590.0   1064.6     12.18     3.48    -2.56    -1.87     3.70     1.65    -1.77    -1.29
 1595.0   1073.1     12.03     3.40    -2.42    -1.80     3.72     1.65    -1.68    -1.26
 1600.0   1081.6     11.98     3.34    -2.31    -1.76     3.68     1.65    -1.62    -1.24
 1605.0   1090.1     12.03     3.31    -2.22    -1.74     3.60     1.66    -1.57    -1.24
 1610.0   1098.7     12.16     3.31    -2.16    -1.75     3.48     1.69    -1.54    -1.25
 1615.0   1107.3     12.38     3.33    -2.11    -1.78     3.33     1.73    -1.52    -1.29
 1620.0   1115.9     12.66     3.38    -2.09    -1.84     3.16     1.79    -1.52    -1.34
 1625.0   1124.6     13.00     3.46    -2.08    -1.92     2.97     1.86    -1.52    -1.41
 1630.0   1133.2     13.38     3.56    -2.08    -2.02     2.75     1.95    -1.53    -1.50
 1635.0   1141.9     13.81     3.68    -2.08    -2.15     2.51     2.05    -1.55    -1.60
 1640.0   1150.6     14.24     3.81    -2.09    -2.28     2.25     2.16    -1.57    -1.72
 1645.0   1159.4     14.67     3.95    -2.10    -2.42     1.95     2.27    -1.59    -1.84
