Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comments,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comments,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BLK:06 PLN:30 POS:00,MFV 02301,248.00,,,,RJT Records,,,,,,,,,248.00,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:30 POS:00,MFV 02301,1.8,5/14/2013 0:41,5/14/2013 0:44,0:03:41,,,,,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 02301,BLK:06 PLN:30 POS:00,249.80,
,,,,,BLK:06 PLN:26 POS:00,MFV 02209,252.00,,,,RJT Records,,,,,,,,,252.00,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:26 POS:00,MFV 02209,2.2,5/14/2013 0:28,5/14/2013 0:36,0:08:00,,,,,2.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 02209,BLK:06 PLN:26 POS:00,254.20,
,,,,,BLK:06 PLN:22 POS:00,MFV 01823,233.00,,,,RJT Records,,,,,,,,,233.00,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:22 POS:00,MFV 01823,1.7,5/14/2013 0:21,5/14/2013 0:25,0:03:26,,,,,1.70,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:22 POS:00,MFV 01823,0.3,6/4/2014 13:51,6/4/2014 13:53,0:01:37,full,,,0.00,0.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 01823,BLK:06 PLN:22 POS:00,235.00,
,,,,,BLK:06 PLN:18 POS:00,MFV 02039,251.00,,,,RJT Records,,,,,,,,,251.00,T59-B03,WT-116:S018,wood,james,6,BLK:06 PLN:18 POS:00,MFV 02039,0.9,5/14/2013 0:10,5/14/2013 0:18,0:07:41,,,,,0.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 02039,BLK:06 PLN:18 POS:00,251.90,
,,,,,BLK:06 PLN:14 POS:00,MFV 04721,250.00,,,,RJT Records,,,,,,,,,250.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:14 POS:00,MFV 04721,1.5,5/14/2013 0:44,5/14/2013 0:48,0:03:29,,,,,1.50,T64-B13,WT163:S066,Larry,Brent,9,BLK:06 PLN:14 POS:00,MFV 04721,0.2,6/4/2014 13:44,6/4/2014 13:46,0:01:25,full,,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 04721,BLK:06 PLN:14 POS:00,251.70,
,,,,,BLK:06 PLN:10 POS:00,MFV 04804,249.00,,,,RJT Records,,,,,,,,,249.00,T59-B03,WT-116:S018,wood,james,12,BLK:06 PLN:10 POS:00,MFV 04804,2.3,5/14/2013 0:30,5/14/2013 0:35,0:04:12,,,,,2.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 04804,BLK:06 PLN:10 POS:00,251.30,
