Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B064,WT-164:S020,wood,james,11,BLK:08 PLN:00 POS:00,MFV 05467,247.8,5/29/2013 9:03,5/29/2013 10:48,1:44:37,,,,,247.80,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:00 POS:00,MFV 05467,3.1,6/12/2013 15:11,,,,,,,3.10,T64-B13,WT163:S066,John,Jay/Ron,9,BLK:08 PLN:00 POS:00,MFV 05467,,,,,FULL,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 05467,BLK:08 PLN:00 POS:00,250.90,
T64-B064,WT-164:S020,wood,james,11,BLK:08 PLN:00 POS:01,MFV 05440,66.2,5/29/2013 12:36,5/29/2013 15:04,2:28:24,swap,T64-B04/T59-B04,WT-163:S022,181.3,247.50,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:00 POS:01,MFV 05440,5.7,6/12/2013 13:01,,,,,,,5.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 05440,BLK:08 PLN:00 POS:01,253.20,
T64-B04/T059-B04,WT-163:S022,daniel,jason,11,BLK:08 PLN:00 POS:02,MFV 05459,249.8,5/29/2013 18:47,5/29/2013 20:41,1:54:55,,,,,249.80,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:00 POS:02,MFV 05459,1.9,6/12/2013 11:03,6/12/2013 11:07,0:03:52,,,,,1.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 05459,BLK:08 PLN:00 POS:02,251.70,
T59-B04,WT-116:S021,daniel,jason,11,BLK:08 PLN:00 POS:03,MFV 05403,248.1,5/29/2013 22:54,5/30/2013 0:43,1:48:26,,,,,248.10,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:00 POS:03,MFV 05403,2.3,6/12/2013 9:48,6/12/2013 9:53,0:05:07,,,,,2.30,T64-B13,WT163:S066,John,Jay/Ron,9,BLK:08 PLN:00 POS:03,MFV 05403,3.2,6/9/2014 10:10,6/9/2014 10:24,0:13:15,"1 5/8""",,,0.00,3.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 05403,BLK:08 PLN:00 POS:03,253.60,
T59-B04,WT-116:S021,daniel,jason,11,BLK:08 PLN:00 POS:04,MFV 05431,236.6,5/30/2013 2:32,5/30/2013 13:19,10:47:24,swap,T59-B04,WT-169:S021,11.8,248.40,T59-B04,WT-169:S023,wood,james,11,BLK:08 PLN:00 POS:04,MFV 05431,4.1,6/12/2013 7:51,6/12/2013 7:59,0:07:35,,,,,4.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 05431,BLK:08 PLN:00 POS:04,252.50,
T59-B04,WT-169:S021,james,wood,11,BLK:08 PLN:00 POS:05,MFV 02610,250.3,5/30/2013 15:14,5/30/2013 17:22,2:07:51,,,,,250.30,T59-B04,WT-169:S023,daniel,tommy,11,BLK:08 PLN:00 POS:05,MFV 02610,2.2,6/12/2013 2:49,6/12/2013 2:49,0:00:04,,,,,2.20,T64-B13,WT163:S066,Larry,Brent,9,BLK:08 PLN:00 POS:05,MFV 02610,1.6,6/6/2014 13:32,6/6/2014 13:42,0:10:30,"1""",,,0.00,1.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 02610,BLK:08 PLN:00 POS:05,254.10,
