Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Comment,Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Comment,Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Comments,Fill 2: 3rd Tanker Batch,Fill 2: 3rd Tanker,Fill 2: Amount from 3rd Tanker (gal),Comments,Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B12,WT-166:S062,wood,don,1,BLK:26 PLN:30 POS:00,MFV 01207,236.2,3/3/2014 11:23,3/3/2014 13:47,2:24:20,20 min delay cold oil,,,,,,,,,236.2,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:30 POS:00,MFV 01207,2.2,3/27/2014 16:30,3/27/2014 16:34,0:04:19,,,,,,,,,,2.2,T64-B13,WT169:S064,Larry,Brent,12,BLK:26 PLN:30 POS:00,MFV 01207,1.2,8/7/2014 14:24,8/7/2014 15:13,0:49:28,"7/8""",,,0.00,1.20,,,,,,,,0.00,,,,,,,0.00,0.00,,1,MFV 01207,BLK:26 PLN:30 POS:00,239.60,
T64-B12,WT-166:S062,wood,don,3,BLK:26 PLN:26 POS:00,MFV 10628,243.1,3/3/2014 11:23,3/3/2014 13:47,2:24:02,,,,,,,,,,243.1,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:26 POS:00,MFV 10628,2.1,3/27/2014 16:42,3/27/2014 16:46,0:03:58,,,,,,,,,,2.1,T64-B13,WT169:S064,Larry,Brent,12,BLK:26 PLN:26 POS:00,MFV 10628,0.8,8/7/2014 15:18,8/7/2014 15:23,0:05:03,"1/4""",,,0.00,0.80,,,,,,,,0.00,,,,,,,0.00,0.00,,2,MFV 10628,BLK:26 PLN:26 POS:00,246.00,
T64-B12,WT-166:S062,wood,don,5,BLK:26 PLN:22 POS:00,MFV 10667,240.3,3/3/2014 11:23,3/3/2014 13:41,2:18:44,,,,,,,,,,240.3,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:22 POS:00,MFV 10667,2.8,3/28/2014 7:11,3/28/2014 7:16,0:04:46,,,,,,,,,,2.8,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:22 POS:00,MFV 10667,1.8,8/7/2014 14:21,8/7/2014 15:12,0:51:06,"1""",,,0.00,1.80,,,,,,,,0.00,,,,,,,0.00,0.00,,3,MFV 10667,BLK:26 PLN:22 POS:00,244.90,
T64-B12,WT-166:S062,wood,don,4,BLK:26 PLN:18 POS:00,MFV 10703,244.4,3/3/2014 11:23,3/3/2014 13:46,2:23:11,,,,,,,,,,244.4,T59-B12,WT-169:S061,wood,blackmer,1,BLK:26 PLN:18 POS:00,MFV 10703,1.8,3/28/2014 7:31,3/28/2014 7:39,0:07:42,,,,,,,,,,1.8,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:18 POS:00,MFV 10703,2.3,8/7/2014 14:05,8/7/2014 14:16,0:10:08,"3/4""",,,0.00,2.30,,,,,,,,0.00,,,,,,,0.00,0.00,,4,MFV 10703,BLK:26 PLN:18 POS:00,248.50,
T64-B12,WT-166:S062,wood,don,8,BLK:26 PLN:14 POS:00,MFV 10647,240.9,3/3/2014 11:26,3/3/2014 13:51,2:25:27,,,,,,,,,,240.9,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:14 POS:00,MFV 10647,4.6,3/27/2014 16:30,3/27/2014 16:37,0:07:15,,,,,,,,,,4.6,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:14 POS:00,MFV 10647,0.7,8/7/2014 13:54,8/7/2014 13:57,0:03:24,"1/2""",,,0.00,0.70,,,,,,,,0.00,,,,,,,0.00,0.00,,5,MFV 10647,BLK:26 PLN:14 POS:00,246.20,
T64-B12,WT-166:S062,wood,don,10,BLK:26 PLN:10 POS:00,MFV 10747,241.2,3/3/2014 11:26,3/3/2014 13:42,2:16:33,,,,,,,,,,241.2,T59-B12,WT-169:S061,wood,blackmer,3,BLK:26 PLN:10 POS:00,MFV 10747,2.6,3/28/2014 7:05,3/28/2014 7:09,0:04:08,,,,,,,,,,2.6,T64-B13,WT169:S064,Larry,Brent,2,BLK:26 PLN:10 POS:00,MFV 10747,2.8,8/7/2014 13:34,8/7/2014 13:48,0:13:59,"1""",,,0.00,2.80,,,,,,,,0.00,,,,,,,0.00,0.00,,6,MFV 10747,BLK:26 PLN:10 POS:00,246.60,
