Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B07,WT-168:S008,wood,james,1,BLK:14 PLN:00 POS:00,MFV 00256,128.8,8/26/2013 23:33,8/27/2013 2:01,2:28:20,swap,T64-B07,WT-163:S035,119.6,248.40,T64-B07,WT-166:S038,wood,james,10,BLK:14 PLN:00 POS:00,MFV 00256,3.8,9/10/2013 0:42,9/10/2013 0:49,0:07:22,,,,,3.80,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,1,MFV 00256,BLK:14 PLN:00 POS:00,252.20,
T64-B07,WT-163:S035,daniel,tommy,1,BLK:14 PLN:00 POS:01,MFV 07206,243.7,8/27/2013 7:59,8/27/2013 9:58,1:58:25,,,,,243.70,T64-B07,WT-166:S038,wood,james,10,BLK:14 PLN:00 POS:01,MFV 07206,3.2,9/9/2013 23:42,9/9/2013 23:50,0:08:32,,,,,3.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,2,MFV 07206,BLK:14 PLN:00 POS:01,246.90,
T64-B07,WT-166:S036,daniel,tommy,12,BLK:14 PLN:00 POS:02,MFV 07205,247.1,8/27/2013 13:00,8/27/2013 14:47,1:46:24,,,,,247.10,T64-B07,WT-166:S038,wood,james,4,BLK:14 PLN:00 POS:02,MFV 07205,2,9/9/2013 21:53,9/9/2013 21:56,0:02:36,,,,,2.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,3,MFV 07205,BLK:14 PLN:00 POS:02,249.10,
T64-B07,WT-166:S036,daniel,tommy,12,BLK:14 PLN:00 POS:03,MFV 07163,244.8,8/27/2013 16:40,8/27/2013 18:49,2:09:27,,,,,244.80,T64-B07,WT-166:S038,wood,james,4,BLK:14 PLN:00 POS:03,MFV 07163,3,9/9/2013 20:41,9/9/2013 20:47,0:06:51,,,,,3.00,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:00 POS:03,MFV 07163,2.9,6/27/2014 11:09,6/27/2014 11:17,0:07:34,"3/4""",,,0.00,2.90,,,,,,,,0.00,,,,,,,0.00,0.00,,4,MFV 07163,BLK:14 PLN:00 POS:03,250.70,
T64-B07,WT-164:S034,wood,james,12,BLK:14 PLN:00 POS:04,MFV 07207,241.9,8/27/2013 21:05,8/27/2013 22:55,1:49:55,,,,,241.90,T64-B07,WT-166:S038,wood,james,4,BLK:14 PLN:00 POS:04,MFV 07207,3,9/9/2013 18:44,9/9/2013 18:50,0:05:41,,,,,3.00,T64-B13,WT163:S066,Larry,Brent,5,BLK:14 PLN:00 POS:04,MFV 07207,2.9,6/27/2014 7:53,6/27/2014 8:04,0:10:12,"1/8""",,,0.00,2.90,,,,,,,,0.00,,,,,,,0.00,0.00,,5,MFV 07207,BLK:14 PLN:00 POS:04,247.80,
T64-B07,WT-164:S034,wood,james,12,BLK:14 PLN:00 POS:05,MFV 07115,168.1,8/28/2013 0:48,8/28/2013 2:56,2:08:23,swap,T64-B07,WT-165:S034,72.2,240.30,T64-B07,WT-166:S038,wood,james,4,BLK:14 PLN:00 POS:05,MFV 07115,6.2,9/9/2013 17:17,9/9/2013 17:29,0:11:55,,,,,6.20,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,6,MFV 07115,BLK:14 PLN:00 POS:05,246.50,
