Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B08,WT-166:S043,james,larry,12,BLK:17 PLN:00 POS:00,MFV 08425,244.7,10/4/2013 10:25,10/4/2013 12:11,1:45:08,,,,,244.70,T59-B08,WT-166:S045,daniel,jason,11,BLK:17 PLN:00 POS:00,MFV 08425,5.4,10/17/2013 9:50,10/17/2013 9:53,0:02:41,,,,,5.40,T64-B13,WT163:S066,larry,brent,5,BLK:17 PLN:00 POS:00,MFV 08425,0.2,7/3/2014 15:59,7/3/2014 16:03,0:03:36,"3/16""",,,0.00,0.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 08425,BLK:17 PLN:00 POS:00,250.30,
T64-B08,WT-116:S041,james,larry,12,BLK:17 PLN:00 POS:01,MFV 08379,236.6,10/4/2013 14:20,10/4/2013 16:00,1:39:43,,,,,236.60,T59-B08,WT-166:S045,daniel,jason,11,BLK:17 PLN:00 POS:01,MFV 08379,7.2,10/17/2013 7:53,10/17/2013 8:00,0:07:41,,,,,7.20,T64-B13,WT163:S066,larry,brent,5,BLK:17 PLN:00 POS:01,MFV 08379,1.3,7/3/2014 14:22,7/3/2014 14:28,0:05:49,"1/4""",,,0.00,1.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 08379,BLK:17 PLN:00 POS:01,245.10,
T64-B08,WT-116:S041,wood,james,12,BLK:17 PLN:00 POS:02,MFV 08378,141.9,10/7/2013 9:12,10/7/2013 11:18,2:06:22,swap,T64-B08,WT-165:S040,98.6,240.50,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:00 POS:02,MFV 08378,3.7,10/17/2013 3:15,10/17/2013 3:15,0:00:18,,,,,3.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 08378,BLK:17 PLN:00 POS:02,244.20,
T64-B08,WT-165:S040,wood,james,12,BLK:17 PLN:00 POS:03,MFV 08369,245.3,10/7/2013 13:12,10/7/2013 15:05,1:52:22,,,,,245.30,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:00 POS:03,MFV 08369,5.4,10/17/2013 1:53,10/17/2013 1:59,0:05:18,,,,,5.40,T64-B13,WT163:S066,larry,brent,5,BLK:17 PLN:00 POS:03,MFV 08369,0.5,7/3/2014 12:51,7/3/2014 12:53,0:01:53,"1/8""",,,0.00,0.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 08369,BLK:17 PLN:00 POS:03,251.20,
T64-B08,WT-169:S040,daniel,jason,12,BLK:17 PLN:00 POS:04,MFV 08375,238.8,10/7/2013 17:44,10/7/2013 19:39,1:55:03,,,,,238.80,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:00 POS:04,MFV 08375,2.7,10/17/2013 0:58,10/17/2013 1:01,0:03:05,30 min. delay due to laptop problem.,,,,2.70,T64-B13,WT163:S066,larry,brent,5,BLK:17 PLN:00 POS:04,MFV 08375,1.9,7/3/2014 9:20,7/3/2014 9:37,0:17:05,"3/16""",,,0.00,1.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 08375,BLK:17 PLN:00 POS:04,243.40,
T64-B08,WT-169:S040,daniel,jason,12,BLK:17 PLN:00 POS:05,MFV 08396,241.5,10/7/2013 21:35,10/7/2013 23:32,1:57:11,move to LL2 and set up(20 minutes),,,,241.50,T59-B08,WT-166:S045,galvin,blackmer,11,BLK:17 PLN:00 POS:05,MFV 08396,2.1,10/16/2013 22:48,10/16/2013 22:52,0:03:56,,,,,2.10,T64-B13,WT163:S066,Larry,Brent,5,BLK:17 PLN:00 POS:05,MFV 08396,3.4,7/2/2014 16:17,7/2/2014 16:26,0:09:07,"3/4""",,,0.00,3.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 08396,BLK:17 PLN:00 POS:05,247.00,
