Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T059-B10,WT-163:S054,galvin,tommy,9,BLK:23 PLN:00 POS:00,MFV 10042,244.5,1/14/2014 18:50,1/14/2014 20:45,1:55:10,,,,,244.50,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:00 POS:00,MFV 10042,2.3,1/30/2014 19:22,1/30/2014 19:29,0:06:56,,,,,2.30,T64-B13,WT169:S064,Larry,Cole,9,BLK:23 PLN:00 POS:00,MFV 10042,1.1,7/29/2014 12:58,7/29/2014 13:04,0:05:56,"1/8""",,,0.00,1.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 10042,BLK:23 PLN:00 POS:00,247.90,,
T059-B10,WT-163:S054,galvin,tommy,9,BLK:23 PLN:00 POS:01,MFV 09954,62.2,1/14/2014 22:39,1/15/2014 0:45,2:05:36,swap 20min.,T64-B11,WT-166:S056,182.1,244.30,T64-B11,WT-165:S056,galvin,tommy,10,BLK:23 PLN:00 POS:01,MFV 09954,0.6,1/30/2014 18:12,1/30/2014 18:13,0:01:58,,,,,0.60,T64-B13,WT169:S064,Larry,Cole,8,BLK:23 PLN:00 POS:01,MFV 09954,1.9,7/29/2014 9:33,7/29/2014 9:42,0:08:34,"3/8""",,,0.00,1.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 09954,BLK:23 PLN:00 POS:01,246.80,,
T64-B11,WT-166:S056,don ,larry,11,BLK:23 PLN:00 POS:02,MFV 00101,246.9,1/15/2014 7:30,1/15/2014 9:18,1:48:01,,,,,246.90,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:00 POS:02,MFV 00101,1.6,1/30/2014 15:35,1/30/2014 15:40,0:05:00,,,,,1.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 00101,BLK:23 PLN:00 POS:02,248.50,,
T59-B10,WT-168:S028,don ,larry,11,BLK:23 PLN:00 POS:03,MFV 10065,245.6,1/15/2014 11:55,1/15/2014 13:43,1:48:12,,,,,245.60,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:00 POS:03,MFV 10065,1.3,1/30/2014 14:24,1/30/2014 14:26,0:02:32,delay 30 min unable to find bluetooth,,,,1.30,T64-B13,WT169:S064,Ron/Perko,Cole,5,BLK:23 PLN:00 POS:03,MFV 10065,6.6,7/28/2014 13:13,7/28/2014 13:24,0:10:43,"1/8""",,,0.00,6.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 10065,BLK:23 PLN:00 POS:03,253.50,,
T59-B10,WT-168:S028,don ,larry,11,BLK:23 PLN:00 POS:04,MFV 10066,242.4,1/15/2014 15:34,1/15/2014 18:34,3:00:37,,,,,242.40,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:00 POS:04,MFV 10066,0.9,1/30/2014 13:04,1/30/2014 13:08,0:03:58,,,,,0.90,T64-B13,WT169:S064,Ron/Perko,Cole,1,BLK:23 PLN:00 POS:04,MFV 10066,2.8,7/28/2014 10:24,7/28/2014 10:37,0:13:14,"1 1/8""",,,0.00,2.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 10066,BLK:23 PLN:00 POS:04,246.10,,
T64-B11,WT-165:S056,galvin,cole,11,BLK:23 PLN:00 POS:05,MFV 10046,245.2,1/15/2014 22:10,1/16/2014 0:03,1:52:26,,,,,245.20,T64-B11,WT-165:S056,larry,don,10,BLK:23 PLN:00 POS:05,MFV 10046,1.4,1/30/2014 11:33,1/30/2014 11:36,0:02:58,delay 45 min setup on LL3,,,,1.40,T64-B13,WT169:S064,Larry,Brent,5,BLK:23 PLN:00 POS:05,MFV 10046,2.5,7/25/2014 13:12,7/25/2014 13:23,0:11:48,"3/4""",,,0.00,2.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 10046,BLK:23 PLN:00 POS:05,249.10,,
