Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B01,WT-166:S003,james,galvin,11,BLK:01 PLN:00 POS:00,MFV 01410,250.20,1/31/13 18:25,1/31/13 20:16,1:51:31,,,,,0.00,250.20,T59-B01,WT-166:S006,galvin,james,4,BLK:01 PLN:00 POS:00,MFV 01410,3,2/21/2013 8:11,2/21/2013 8:18,0:07:25,y,,,,0.00,3.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,13,MFV 01410,BLK:01 PLN:00 POS:00,253.20,,
T64-B01,WT-166:S003,daniel,jason,11,BLK:01 PLN:00 POS:01,MFV 03009,249.90,2/1/13 7:15,2/1/13 8:41,1:26:26,,,,,0.00,249.90,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:00 POS:01,MFV 03009,1.5,2/21/2013 1:45,2/21/2013 1:49,0:03:39,y,,,,0.00,1.50,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,32,MFV 03009,BLK:01 PLN:00 POS:01,251.40,,
T64-B01,WT-164:S003,daniel,jason,11,BLK:01 PLN:00 POS:02,MFV 01407,251.80,2/4/2013 21:29,2/4/2013 23:23,1:54:29,,,,,0.00,251.80,T59-B01,WT-166:S006,daniel,jason,4,BLK:01 PLN:00 POS:02,MFV 01407,1.9,2/20/2013 22:55,2/20/2013 23:09,0:13:52,y,,,,0.00,1.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,48,MFV 01407,BLK:01 PLN:00 POS:02,253.70,,
T64-B01,WT-164:S003,galvin,james,11,BLK:01 PLN:00 POS:03,MFV 01395,11.70,2/5/2013 11:14,2/5/2013 11:29,0:15:25,y,,T64-B01,WT-165:S003,236.90,248.60,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:00 POS:03,MFV 01395,2,2/20/2013 21:36,2/20/2013 21:41,0:05:40,y,,,,0.00,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,61,MFV 01395,BLK:01 PLN:00 POS:03,250.60,,
T64-B01,WT-165:S003,gary,jason,11,BLK:01 PLN:00 POS:04,MFV 03017,250.40,2/5/2013 21:39,2/5/2013 23:41,2:01:47,y,,,,0.00,250.40,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:00 POS:04,MFV 03017,1.8,2/20/2013 18:46,2/20/2013 18:52,0:06:00,y,,,,0.00,1.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,80,MFV 03017,BLK:01 PLN:00 POS:04,252.20,,
T59-B01,WT-163:S004,galvin,james,11,BLK:01 PLN:00 POS:05,MFV 02996,250.50,2/6/2013 10:12,2/6/2013 12:20,2:08:49,y,,,,0.00,250.50,T59-B01,WT-166:S006,daniel,jason,2,BLK:01 PLN:00 POS:05,MFV 02996,1.3,2/20/2013 17:30,2/20/2013 17:36,0:06:14,y,,,,0.00,1.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,93,MFV 02996,BLK:01 PLN:00 POS:05,251.80,,
