Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T059-B02,WT-164:S010,daniel,jason,1,BLK:04 PLN:30 POS:00,MFV 01906,245.10,3/26/2013 8:18,3/26/2013 10:09,1:51:03,,,,,245.10,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:30 POS:00,MFV 01906,2.50,4/10/2013 23:50,4/10/2013 23:55,0:04:51,,,,,2.50,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,1,MFV 01906,BLK:04 PLN:30 POS:00,247.60,
T059-B02,WT-164:S010,daniel,jason,11,BLK:04 PLN:26 POS:00,MFV 03665,245.50,3/26/2013 8:18,3/26/2013 9:58,1:40:02,,,,,245.50,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:26 POS:00,MFV 03665,4.80,4/10/2013 23:30,4/10/2013 23:39,0:08:43,,,,,4.80,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,2,MFV 03665,BLK:04 PLN:26 POS:00,250.30,
T059-B02,WT-164:S010,daniel,jason,3,BLK:04 PLN:22 POS:00,MFV 02831,245.30,3/26/2013 8:18,3/26/2013 10:05,1:46:59,,,,,245.30,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:22 POS:00,MFV 02831,3.40,4/10/2013 23:16,4/10/2013 23:23,0:07:21,,,,,3.40,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,3,MFV 02831,BLK:04 PLN:22 POS:00,248.70,
T059-B02,WT-164:S010,daniel,jason,4,BLK:04 PLN:18 POS:00,MFV 01975,246.30,3/26/2013 8:18,3/26/2013 10:08,1:50:08,,,,,246.30,T064-B03,WT-164:S013,jason,tommy,1,BLK:04 PLN:18 POS:00,MFV 01975,5.10,4/10/2013 22:56,4/10/2013 23:07,0:11:06,,,,,5.10,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,4,MFV 01975,BLK:04 PLN:18 POS:00,251.40,
T059-B02,WT-164:S010,daniel,jason,7,BLK:04 PLN:14 POS:00,MFV 04509,243.50,3/26/2013 8:19,3/26/2013 10:02,1:42:44,,,,,243.50,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:14 POS:00,MFV 04509,3.30,4/10/2013 23:53,4/10/2013 23:59,0:06:32,,,,,3.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:04 PLN:14 POS:00,MFV 04509,1.3,5/29/2014 7:05,5/29/2014 7:12,0:06:51,full,,,0.00,1.30,,,,,,,,0.00,,,,,,,0.00,0.00,,5,MFV 04509,BLK:04 PLN:14 POS:00,248.10,
T059-B02,WT-164:S010,daniel,jason,8,BLK:04 PLN:10 POS:00,MFV 02698,243.30,3/26/2013 8:19,3/26/2013 10:02,1:42:43,,,,,243.30,T064-B03,WT-164:S013,jason,tommy,4,BLK:04 PLN:10 POS:00,MFV 02698,7.20,4/10/2013 23:31,4/10/2013 23:43,0:12:51,,,,,7.20,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,6,MFV 02698,BLK:04 PLN:10 POS:00,250.50,
