Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),"",No. Modules,Module ID,Module Position,Total Fill
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
T64-B05,WT-163:S025,daniel,tommy,1,BLK:09 PLN:01 POS:00,MFV 05769,217.3,6/18/2013 20:48,6/18/2013 23:15,2:26:44,swap,T64-B05,WT-166:S026,31.4,248.7,"","","","","","","",0,"","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"",1,MFV 05769,BLK:09 PLN:01 POS:00,248.7
T64-B05,WT-166:S026,daniel,tommy,1,BLK:09 PLN:01 POS:01,MFV 05807,248.8,6/18/2013 23:15,6/19/2013 1:40,2:24:39,"","","","",248.8,"","","","","","","",0,"","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"",2,MFV 05807,BLK:09 PLN:01 POS:01,248.8
T64-B05,WT-163:S025,daniel,tommy,6,BLK:09 PLN:01 POS:02,MFV 05805,218,6/18/2013 20:48,6/18/2013 23:14,2:25:51,swap,T64-B05,WT-166:S026,34.1,252.1,"","","","","","","",0,"","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"",3,MFV 05805,BLK:09 PLN:01 POS:02,252.1
T64-B05,WT-166:S026,daniel,tommy,6,BLK:09 PLN:01 POS:03,MFV 05828,252.1,6/18/2013 23:14,6/19/2013 1:36,2:22:01,"","","","",252.1,"","","","","","","",0,"","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"",4,MFV 05828,BLK:09 PLN:01 POS:03,252.1
T64-B05,WT-163:S025,daniel,tommy,8,BLK:09 PLN:01 POS:04,MFV 05802,214.5,6/18/2013 20:48,6/18/2013 23:15,2:26:31,swap,T64-B05,WT-166:S026,36.5,251,"","","","","","","",0,"","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"",5,MFV 05802,BLK:09 PLN:01 POS:04,251
T64-B05,WT-166:S026,daniel,tommy,8,BLK:09 PLN:01 POS:05,MFV 05779,251.2,6/18/2013 23:15,6/19/2013 1:36,2:21:13,"","","","",251.2,"","","","","","","",0,"","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"","","","","","","",0,"","","","","","","",0,0,"",6,MFV 05779,BLK:09 PLN:01 POS:05,251.2
