Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B08,WT-165:S043,daniel,jason,2,BLK:18 PLN:01 POS:00,MFV 08699,249.9,10/23/2013 9:40,10/23/2013 11:55,2:15:17,,,,,249.90,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 08699,BLK:18 PLN:01 POS:00,249.90
T59-B08,WT-165:S043,daniel,jason,2,BLK:18 PLN:01 POS:01,MFV 03621,250.4,10/23/2013 11:56,10/23/2013 14:15,2:19:51,,,,,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 03621,BLK:18 PLN:01 POS:01,250.40
T59-B08,WT-165:S043,daniel,jason,4,BLK:18 PLN:01 POS:02,MFV 03575,250.4,10/23/2013 9:40,10/23/2013 11:58,2:18:23,,,,,250.40,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 03575,BLK:18 PLN:01 POS:02,250.40
T59-B08,WT-165:S043,daniel,jason,4,BLK:18 PLN:01 POS:03,MFV 08756,249.6,10/23/2013 11:58,10/23/2013 14:17,2:19:24,,,,,249.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 08756,BLK:18 PLN:01 POS:03,249.60
T59-B08,WT-165:S043,daniel,jason,5,BLK:18 PLN:01 POS:04,MFV 08755,249.6,10/23/2013 9:40,10/23/2013 12:01,2:21:18,,,,,249.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 08755,BLK:18 PLN:01 POS:04,249.60
T59-B08,WT-165:S043,daniel,jason,5,BLK:18 PLN:01 POS:05,MFV 08729,249.3,10/23/2013 12:01,10/23/2013 14:23,2:21:08,,,,,249.30,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 08729,BLK:18 PLN:01 POS:05,249.30
