Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B10,WT-164:S048,jason,daniel,9,BLK:21 PLN:00 POS:00,MFV 00199,248.2,12/3/2013 1:47,12/3/2013 9:40,7:53:06,had to stop early due to oil to hot,,,,248.20,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:00 POS:00,MFV 00199,2.7,12/17/2013 12:51,12/17/2013 13:00,0:08:54,,,,,2.70,T64-B13,WT169:S064,Larry,Brent,1,BLK:21 PLN:00 POS:00,MFV 00199,1.7,7/17/2014 16:05,7/17/2014 16:17,0:12:31,"3/4""",,,0.00,1.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 00199,BLK:21 PLN:00 POS:00,252.60,
T64-B10,WT-164:S048,galvin,blackmer,9,BLK:21 PLN:00 POS:01,MFV 08513,247.3,12/3/2013 12:25,12/3/2013 14:42,2:17:21,30 min. delay due to hot oil.,,,,247.30,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:00 POS:01,MFV 08513,1.6,12/17/2013 11:03,12/17/2013 11:08,0:05:02,,,,,1.60,T64-B13,WT169:S064,Larry,Brent,,BLK:21 PLN:00 POS:01,MFV 08513,,,,,full,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 08513,BLK:21 PLN:00 POS:01,248.90,
T64-B10,WT-166:S052,daniel,jason,9,BLK:21 PLN:00 POS:02,MFV 09757,244.7,12/3/2013 17:43,12/3/2013 19:39,1:55:25,,,,,244.70,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:00 POS:02,MFV 09757,0.1,12/17/2013 8:40,12/17/2013 8:45,0:05:20,,,,,0.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 09757,BLK:21 PLN:00 POS:02,244.80,
T64-B10,WT-166:S052,daniel,jason,9,BLK:21 PLN:00 POS:03,MFV 08576,137.8,12/3/2013 21:26,12/3/2013 23:25,1:58:19,swap,T64-B10,WT-116:S050,107.2,245.00,T59-B10,WT-116:S052,gary,jim,10,BLK:21 PLN:00 POS:03,MFV 08576,2.1,12/17/2013 6:53,12/17/2013 6:59,0:05:53,,,,,2.10,T64-B13,WT169:S064,Larry,Brent,1,BLK:21 PLN:00 POS:03,MFV 08576,1.3,7/17/2014 10:23,7/17/2014 10:29,0:06:18,"3/16""",,,0.00,1.30,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 08576,BLK:21 PLN:00 POS:03,248.40,
T64-B10,WT-116:S050,daniel,jason,9,BLK:21 PLN:00 POS:04,MFV 09701,246.2,12/4/2013 1:21,12/4/2013 7:40,6:18:26,,,,,246.20,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:00 POS:04,MFV 09701,0.7,12/17/2013 2:54,12/17/2013 2:57,0:03:05,,,,,0.70,T64-B13,WT169:S064,Larry,Brent,1,BLK:21 PLN:00 POS:04,MFV 09701,3.4,7/17/2014 7:45,7/17/2014 8:01,0:16:09,"3/4""",,,0.00,3.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 09701,BLK:21 PLN:00 POS:04,250.30,
T64-B10,WT-165:S049,blackmer,plerchee,9,BLK:21 PLN:00 POS:05,MFV 04271,238.7,12/4/2013 12:47,12/4/2013 15:20,2:32:49,,,,,238.70,T59-B10,WT-116:S052,wood,blackmer,10,BLK:21 PLN:00 POS:05,MFV 04271,0.7,12/17/2013 1:36,12/17/2013 1:43,0:07:28,,,,,0.70,T64-B13,WT169:S064,Larry,Brent,5,BLK:21 PLN:00 POS:05,MFV 04271,2.8,7/16/2014 15:18,7/16/2014 15:28,0:10:23,"1 1/2""",,,0.00,2.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 04271,BLK:21 PLN:00 POS:05,242.20,
