Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B11,WT-165:S056,galvin,tommy,11,BLK:24 PLN:00 POS:00,MFV 00825,249.1,1/30/2014 21:09,1/30/2014 23:15,2:05:32,Longer fill times due to supply line extentions.,,,,249.10,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:00 POS:00,MFV 00825,4.1,2/13/2014 2:59,2/13/2014 3:03,0:03:49,,,,,4.10,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,1,MFV 00825,BLK:24 PLN:00 POS:00,253.20,
T64-B11,WT-166:S058,galvin,tommy,11,BLK:24 PLN:00 POS:01,MFV 10265,241,1/31/2014 1:22,1/31/2014 7:20,5:58:43,,,,,241.00,T59-B11,wT-165:S058,wood,don,5,BLK:24 PLN:00 POS:01,MFV 10265,4.4,2/13/2014 1:39,2/13/2014 1:49,0:09:55,,,,,4.40,T64-B13,WT163:S066,Ron,Cole,,BLK:24 PLN:00 POS:01,MFV 10265,0,,,,Full,,,0.00,0.00,T64-B13,WT169:S064,Larry,Cole,2,BLK:24 PLN:00 POS:01,MFV 10265,1.2,8/14/2014 12:51,8/14/2014 12:57,0:05:43,"1/4""",,,0.00,1.20,,2,MFV 10265,BLK:24 PLN:00 POS:01,246.60,
T64-B11,WT-168:S030,jason,larry,11,BLK:24 PLN:00 POS:02,MFV 10341,243,1/31/2014 12:15,1/31/2014 15:30,3:14:30,had to stop due to temp,,,,243.00,T59-B11,wT-165:S058,wood,don,5,BLK:24 PLN:00 POS:02,MFV 10341,0.5,2/12/2014 23:28,2/12/2014 23:32,0:03:13,,,,,0.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,3,MFV 10341,BLK:24 PLN:00 POS:02,243.50,
T64-B11,WT-168:S030,Galvin,Jason,11,BLK:24 PLN:00 POS:03,MFV 00503,139.3,2/3/2014 7:41,2/3/2014 10:30,2:48:55,swap 20 minutes,T64-B11,WT-116:S056,105.3,244.60,T59-B11,wT-165:S058,wood,don,5,BLK:24 PLN:00 POS:03,MFV 00503,2.6,2/12/2014 21:28,2/12/2014 21:34,0:05:57,,,,,2.60,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,4,MFV 00503,BLK:24 PLN:00 POS:03,247.20,
T64-B11,WT-116:S056,Galvin,Jason,11,BLK:24 PLN:00 POS:04,MFV 01411,251.1,2/3/2014 12:44,2/3/2014 14:59,2:14:58,,,,,251.10,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:00 POS:04,MFV 01411,2.7,2/12/2014 20:14,2/12/2014 20:21,0:06:17,,,,,2.70,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,5,MFV 01411,BLK:24 PLN:00 POS:04,253.80,
T64-B11,WT-116:S056,Galvin,Jason,11,BLK:24 PLN:00 POS:05,MFV 10304,244.4,2/3/2014 17:30,2/3/2014 19:01,1:31:34,,,,,244.40,T59-B11,WT-165:S058,wood,don,5,BLK:24 PLN:00 POS:05,MFV 10304,3.5,2/12/2014 17:55,2/12/2014 18:04,0:08:46,,,,,3.50,,,,,,,,0.00,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,0.00,0.00,,6,MFV 10304,BLK:24 PLN:00 POS:05,247.90,
