Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: 3rd Tanker Batch,Fill 1: 3rd Tanker,Fill 1: Amount from 3rd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B12,WT-169:S062,perko,brent,1,BLK:27 PLN:01 POS:00,MFV 07039,219.3,4/11/2014 6:39,4/11/2014 10:27,3:47:56,,,T59-B12,WT-166:S066,31,,,,250.3,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 07039,BLK:27 PLN:01 POS:00,250.30
T59-B12,WT-169:S062,perko,brent,2,BLK:27 PLN:01 POS:02,MFV 02496,203.6,4/11/2014 6:40,4/11/2014 10:39,3:59:03,,,T59-B12,WT-166:S066,48.1,,,,251.7,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 02496,BLK:27 PLN:01 POS:02,251.70
T59-B12,WT-169:S062,perko,brent,3,BLK:27 PLN:01 POS:04,MFV 06549,211.3,4/11/2014 6:40,4/11/2014 10:29,3:49:46,,,T59-B12,WT-166:S066,37.9,,,,249.2,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 06549,BLK:27 PLN:01 POS:04,249.20
T59-B12,WT-169:S062,perko,brent,4,BLK:27 PLN:01 POS:06,MFV 11057,220.6,4/11/2014 6:40,4/11/2014 10:33,3:53:33,,,T59-B12,WT-166:S066,18,,,,238.6,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 11057,BLK:27 PLN:01 POS:06,238.60
T59-B12,WT-169:S062,perko,brent,5,BLK:27 PLN:01 POS:08,MFV 10935,216.7,4/11/2014 6:40,4/11/2014 10:36,3:55:59,,,T59-B12,WT-166:S066,35.4,,,,252.1,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 10935,BLK:27 PLN:01 POS:08,252.10
T59-B12,WT-169:S062,perko,brent,6,BLK:27 PLN:01 POS:10,MFV 09949,225.3,4/11/2014 6:40,4/11/2014 10:15,3:50:33,,,T59-B12,WT-166:S066,21.6,,,,246.9,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 09949,BLK:27 PLN:01 POS:10,246.90
